max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
4,500,5,0.5,0.361063188749,0.829376854599,0.955899138893,0.707368287096,0.750048989017
4,500,5,0.75,0.135753087692,0.949307616222,0.979454552296,0.928162382286,0.953116969025
4,500,10,0.5,0.23277421318,0.949025010598,0.985428761263,0.921863069483,0.952471150727
4,500,10,0.75,0.139842517365,0.955489614243,0.980907632905,0.938088572156,0.95901728658
4,500,20,0.5,0.133934708282,0.953935283312,0.98194845998,0.934207177399,0.95747711012
4,500,20,0.75,0.131476513113,0.952910837926,0.980938798136,0.933316365487,0.956531869988
4,1000,5,0.5,0.22227019295,0.95047336442,0.981990103706,0.927844235174,0.953955752062
4,1000,5,0.75,0.106403311104,0.961600960859,0.981631842708,0.948587426826,0.964821496841
4,1000,10,0.5,0.105017373496,0.964250388583,0.985023516311,0.950050903538,0.967219593981
4,1000,10,0.75,0.102249758589,0.962130846404,0.984648711751,0.946551285314,0.965221454172
4,1000,20,0.5,0.10894575363,0.962908011869,0.984158404648,0.948460167982,0.965978067654
4,1000,20,0.75,0.22502275279,0.847075031793,0.932918048923,0.742364469331,0.772601068489
4,2000,5,0.5,0.152244883875,0.961706937968,0.986091305014,0.944324255536,0.964582525701
4,2000,5,0.75,0.0821029142039,0.970397060902,0.987486306638,0.958831763808,0.972945991772
4,2000,10,0.5,0.0854346796459,0.969867175357,0.986323790336,0.959022652074,0.972481361584
4,2000,10,0.75,0.0807088923444,0.969761198248,0.986448597383,0.958704504963,0.972377821007
4,2000,20,0.5,0.0907303252435,0.969619895436,0.985184643609,0.959722575719,0.9722815441
4,2000,20,0.75,0.0812348237717,0.969655221139,0.984605652527,0.960358869941,0.972330227476
max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
5,500,5,0.5,0.120165205117,0.957220573689,0.983470562574,0.938724866378,0.960572305112
5,500,5,0.75,0.12138020026,0.956408082521,0.982865877772,0.937834054467,0.959821427986
5,500,10,0.5,0.158185960882,0.955666242758,0.981930487001,0.937388648511,0.959138893975
5,500,10,0.75,0.123697179016,0.955984174085,0.982845664037,0.9370705014,0.959410152427
