max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,500,25,5,0.5,0.504954226587,0.779073053554,0.733524711948,0.945596843981,0.826161265763
4,500,25,5,0.75,0.501293441334,0.784301257595,0.738652868179,0.946296767625,0.829678227704
4,500,25,5,1,0.500553567507,0.784089303377,0.739073840362,0.944642402647,0.829290960581
4,500,25,10,0.5,0.502782581503,0.781651829871,0.735453106667,0.947632985492,0.828160733643
4,500,25,10,0.75,0.501679302851,0.782711600961,0.738840653416,0.941397302112,0.827887457362
4,500,25,10,1,0.496075605806,0.788893598983,0.745053848339,0.942160855179,0.832087437854
4,500,25,20,0.5,0.503550569994,0.778225236682,0.732211757908,0.946805803003,0.825793867138
4,500,25,20,0.75,0.498715928288,0.783700720644,0.737842757322,0.946805803003,0.829363921145
4,500,25,20,1,0.497704004594,0.78613819415,0.743100073,0.939742937134,0.829889088027
4,500,50,5,0.5,0.500339826548,0.784053977674,0.737977134357,0.947442097226,0.829684390943
4,500,50,5,0.75,0.499278676598,0.785502331496,0.739204501534,0.948205650293,0.830755076221
4,500,50,5,1,0.4983444954,0.787056662428,0.74148859135,0.946614914737,0.831541953004
4,500,50,10,0.5,0.500362219136,0.785007771655,0.738187648607,0.94954186816,0.830627592516
4,500,50,10,0.75,0.497949524573,0.786668079695,0.740137927517,0.948905573937,0.831618692589
4,500,50,10,1,0.496497989281,0.789529461636,0.744140810027,0.946296767625,0.833118118285
4,500,50,20,0.5,0.502539474586,0.781863784089,0.736096942032,0.94642402647,0.828110664327
4,500,50,20,0.75,0.498860714439,0.782994206585,0.737312543381,0.946296767625,0.82882763025
4,500,50,20,1,0.496494963939,0.788716970468,0.741373455761,0.951323491983,0.833323700906
4,500,100,5,0.5,0.501140618505,0.783665394941,0.737355191191,0.948078391448,0.829538850075
4,500,100,5,0.75,0.499765845271,0.783983326268,0.738233968913,0.946551285314,0.829508279573
4,500,100,5,1,0.500375658943,0.786562102586,0.742960106502,0.941206413846,0.830401094065
4,500,100,10,0.5,0.503341740204,0.780486081673,0.735865415137,0.943178925935,0.826710030179
4,500,100,10,0.75,0.500211351322,0.784548537516,0.739387562137,0.94502417918,0.829646743084
4,500,100,10,1,0.497630755733,0.787869153596,0.741604142233,0.948396538559,0.832328623169
4,500,100,20,0.5,0.500229345023,0.785043097358,0.739645772947,0.945724102825,0.830078694435
4,500,100,20,0.75,0.502593184855,0.782994206585,0.739991809108,0.939233901756,0.827768645808
4,500,100,20,1,0.498776312825,0.786915359616,0.744912689092,0.937134130822,0.83002845757
4,1000,25,5,0.5,0.463574484042,0.801681503462,0.758662784593,0.942669890557,0.840709320724
4,1000,25,5,0.75,0.456209146204,0.809099901088,0.764788384124,0.947632985492,0.846442530792
4,1000,25,5,1,0.457732782578,0.808040129999,0.764286468116,0.946042249936,0.845503364257
4,1000,25,10,0.5,0.45934499544,0.805602656493,0.761698120296,0.945724102825,0.843792908526
4,1000,25,10,0.75,0.457531961845,0.806167867741,0.763601555869,0.94273351998,0.843760179603
4,1000,25,10,1,0.459404725795,0.80592058782,0.763134109827,0.943178925935,0.843656641677
4,1000,25,20,0.5,0.461137166956,0.803624417126,0.759836725859,0.944960549758,0.842344864649
4,1000,25,20,0.75,0.463223972301,0.801469549244,0.758085542914,0.943497073047,0.840688078095
4,1000,25,20,1,0.459419751261,0.805002119542,0.760722068209,0.946487655892,0.843495608124
4,1000,50,5,0.5,0.459088473343,0.806945033206,0.763898893539,0.944069737847,0.844478477982
4,1000,50,5,0.75,0.457446844111,0.804684188215,0.761389749415,0.944133367269,0.842960844928
4,1000,50,5,1,0.456517949874,0.809523809524,0.767038145555,0.943624331891,0.846192406605
4,1000,50,10,0.5,0.460064688287,0.804366256889,0.76079460899,0.944642402647,0.842804944845
4,1000,50,10,0.75,0.458718860294,0.806061890632,0.762326205645,0.945469585136,0.844074558122
4,1000,50,10,1,0.458492550247,0.806556450473,0.762742498939,0.945787732247,0.844451021133
4,1000,50,20,0.5,0.463734857372,0.801045640808,0.758472333511,0.941460931535,0.840114139154
4,1000,50,20,0.75,0.459024605833,0.805496679384,0.762588480715,0.943369814202,0.84339195796
4,1000,50,20,1,0.454911074824,0.808781969761,0.765127380669,0.946042249936,0.846007054514
4,1000,100,5,0.5,0.462859137697,0.804295605483,0.760163539938,0.945978620514,0.842947050466
4,1000,100,5,0.75,0.45626287488,0.809417832415,0.765482222995,0.946805803003,0.846540450492
4,1000,100,5,1,0.461845155718,0.803871697047,0.761738012281,0.941142784424,0.841982948424
4,1000,100,10,0.5,0.460448344286,0.804896142433,0.761649850872,0.944006108425,0.843076141451
4,1000,100,10,0.75,0.459584149394,0.805708633602,0.762364349419,0.94445151438,0.843693051978
4,1000,100,10,1,0.458281435591,0.804648862512,0.761568283745,0.943560702469,0.842847170258
4,1000,100,20,0.5,0.460725980124,0.804542885403,0.761408988874,0.943687961313,0.84279972441
4,1000,100,20,0.75,0.455832311792,0.806627101879,0.763812372546,0.943433443624,0.844169123764
4,1000,100,20,1,0.458988573629,0.805814610711,0.763533696765,0.941969966913,0.843413457817
4,2000,25,5,0.5,0.421039478245,0.826798078282,0.785439214825,0.946614914737,0.85852687631
4,2000,25,5,0.75,0.418410524929,0.825985587113,0.787575735782,0.94018834309,0.85713005949
4,2000,25,5,1,0.417993185763,0.824501907588,0.785189609201,0.941524560957,0.856266546953
4,2000,25,10,0.5,0.417427565574,0.827893175074,0.788046924678,0.943942479002,0.858965785109
4,2000,25,10,0.75,0.416073867851,0.829129574679,0.79046603449,0.94190633749,0.859562971189
4,2000,25,10,1,0.419932518008,0.825031793133,0.785143729689,0.942924408246,0.856818830091
4,2000,25,20,0.5,0.422721612054,0.825102444539,0.785911185311,0.941460931535,0.85667597765
4,2000,25,20,0.75,0.418480344656,0.829376854599,0.789678902753,0.944133367269,0.8600225158
4,2000,25,20,1,0.417651382397,0.828776317649,0.788196423638,0.945724102825,0.859801632048
4,2000,50,5,0.5,0.419207024864,0.8270100325,0.785928155186,0.946169508781,0.858623136667
4,2000,50,5,0.75,0.421884830519,0.823477462201,0.785622292387,0.938024942734,0.855083152876
4,2000,50,5,1,0.416452445565,0.828635014837,0.78987437294,0.94190633749,0.859212377683
4,2000,50,10,0.5,0.424822012959,0.822770948142,0.781954581899,0.944069737847,0.855384941121
4,2000,50,10,0.75,0.419617769704,0.825385050162,0.784664086624,0.944769661491,0.857299689136
4,2000,50,10,1,0.415311208052,0.827575243747,0.788590915863,0.941969966913,0.858474312814
4,2000,50,20,0.5,0.416452098833,0.828846969055,0.790812799546,0.940506490201,0.859184342774
4,2000,50,20,0.75,0.420690304102,0.825491027271,0.784272119081,0.94585136167,0.857513239264
4,2000,50,20,1,0.412307868326,0.830931185531,0.79156812616,0.944069737847,0.86111454706
4,2000,100,5,0.5,0.423020271698,0.823512787904,0.784377765383,0.940697378468,0.855453948004
4,2000,100,5,0.75,0.419492642924,0.826374169846,0.787278057479,0.941715449224,0.857597550055
4,2000,100,5,1,0.418633772682,0.826197541331,0.786218084983,0.943497073047,0.857705242959
4,2000,100,10,0.5,0.41832564086,0.827822523668,0.787873743234,0.944069737847,0.858923227425
4,2000,100,10,0.75,0.418469608982,0.8270100325,0.786942582825,0.944006108425,0.858343792942
4,2000,100,10,1,0.41310133225,0.830471951392,0.790982623872,0.944133367269,0.860796141228
4,2000,100,20,0.5,0.418876564027,0.827045358203,0.787351445593,0.943242555358,0.858269325006
4,2000,100,20,0.75,0.419060563888,0.825667655786,0.784852846589,0.945087808603,0.857543235261
4,2000,100,20,1,0.42220938554,0.822523668221,0.78360700253,0.939870195979,0.854648719826
4,3000,25,5,0.5,0.393643425977,0.839268051434,0.802276145574,0.942860778824,0.866903660803
4,3000,25,5,0.75,0.397332410214,0.836547972305,0.800110169065,0.940570119623,0.864670800701
4,3000,25,5,1,0.396554040157,0.838208280345,0.801102930841,0.942606261135,0.866112022187
4,3000,25,10,0.5,0.400064025667,0.835770806839,0.800579005309,0.937834054467,0.863782543749
4,3000,25,10,0.75,0.398419371013,0.836300692384,0.799227757332,0.941715449224,0.864638441607
4,3000,25,10,1,0.394234975652,0.840539776742,0.804048887685,0.942479002291,0.867776160278
4,3000,25,20,0.5,0.397035076019,0.837395789176,0.799438087806,0.943942479002,0.865691577839
4,3000,25,20,0.75,0.400097494936,0.836759926523,0.79929128925,0.94273351998,0.865100121848
4,3000,25,20,1,0.397228634098,0.83838490886,0.801095883151,0.943051667091,0.86629634052
4,3000,50,5,0.5,0.397623843381,0.838561537375,0.80072404232,0.944196996691,0.866560403146
4,3000,50,5,0.75,0.396615841848,0.839126748622,0.802926948605,0.941270043268,0.866610690759
4,3000,50,5,1,0.395089444787,0.839974565494,0.803917013996,0.941397302112,0.867235160222
4,3000,50,10,0.5,0.396770034503,0.839126748622,0.800474878736,0.946042249936,0.867190397797
4,3000,50,10,0.75,0.396963948714,0.837855023315,0.801828715691,0.940379231357,0.865589141397
4,3000,50,10,1,0.39608205672,0.840857708068,0.805789029921,0.939933825401,0.867690250077
4,3000,50,20,0.5,0.396034562188,0.840610428148,0.803783873064,0.943178925935,0.867909756135
4,3000,50,20,0.75,0.398660529463,0.836689275117,0.798579066294,0.943942479002,0.865194412679
4,3000,50,20,1,0.397491269129,0.837855023315,0.800161831909,0.943624331891,0.865987964389
4,3000,100,5,0.5,0.399608397568,0.835558852621,0.799611578604,0.939170272334,0.863788426081
4,3000,100,5,0.75,0.394478586478,0.837855023315,0.799641264938,0.944642402647,0.866109098045
4,3000,100,5,1,0.393391663861,0.840221845415,0.802998747749,0.943751590736,0.867698191585
4,3000,100,10,0.5,0.394355167344,0.839833262682,0.802194038205,0.944387884958,0.867496944123
4,3000,100,10,0.75,0.396511775458,0.837466440582,0.801890258058,0.939297531178,0.865171612002
4,3000,100,10,1,0.396971773716,0.836653949414,0.799466056495,0.942097225757,0.864936888281
