max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,500,25,5,0.5,0.252622101498,0.906245584287,0.889386061473,0.949223721049,0.918311747429
4,500,25,5,0.75,0.263185007145,0.901158683058,0.88363867985,0.94699669127,0.91410991707
4,500,25,5,1,0.256689028516,0.90225377985,0.88441804554,0.947951132604,0.915044381683
4,500,25,10,0.5,0.255673519241,0.90663416702,0.889868221157,0.949414609315,0.918657424019
4,500,25,10,0.75,0.251268651492,0.908082520842,0.88909771879,0.953359633495,0.920107145757
4,500,25,10,1,0.254445655128,0.903666807969,0.884609041673,0.950814456605,0.916412320335
4,500,25,20,0.5,0.254389005478,0.909283594744,0.894023266268,0.949414609315,0.920774199382
4,500,25,20,0.75,0.253774543709,0.906952098347,0.888332642453,0.952150674472,0.919114424662
4,500,25,20,1,0.25129800235,0.905115161792,0.887280922924,0.949987274116,0.917507310482
4,500,50,5,0.5,0.256194822161,0.902571711177,0.884685147585,0.948523797404,0.915395822051
4,500,50,5,0.75,0.248497990772,0.90900098912,0.893607826796,0.949160091626,0.920533217535
4,500,50,5,1,0.253288209187,0.908011869436,0.892643774958,0.948587426826,0.9196934711
4,500,50,10,0.5,0.252987416016,0.905962978663,0.888914208209,0.949287350471,0.91809669045
4,500,50,10,0.75,0.258045074937,0.904443973435,0.884762259993,0.952214303894,0.917172475037
4,500,50,10,1,0.256462552372,0.902183128444,0.879868610619,0.954186815984,0.915497819473
