max_depth,n_trees,early_stopping,col_sample,l,a,p,r,f
4,500,5,0.5,0.233108638929,0.945527766003,0.98402793995,0.916836345126,0.949067250927
4,500,5,0.75,0.274817990242,0.940193584852,0.974945396644,0.915754644948,0.944359925037
4,500,10,0.5,0.134520302794,0.956125476897,0.982660008951,0.937515907356,0.959552556162
4,500,10,0.75,0.148428437414,0.950190758796,0.979167179115,0.930071264953,0.953987476843
4,500,20,0.5,0.143149503705,0.954783100184,0.983392137775,0.934334436243,0.958231949826
4,500,20,0.75,0.26287628744,0.836583298008,0.934461986697,0.726648002036,0.764049850182
4,1000,5,0.5,0.25314079948,0.948707079271,0.982402982745,0.924217358106,0.952225912852
4,1000,5,0.75,0.157949919273,0.955277660025,0.980163804756,0.938406719267,0.958761655375
4,1000,10,0.5,0.109125294465,0.965098205454,0.984924039838,0.951705268516,0.968023304324
4,1000,10,0.75,0.195056316498,0.954783100184,0.977853436107,0.939742937134,0.958353576939
4,1000,20,0.5,0.104779118477,0.966440582168,0.984450615462,0.954632221939,0.969307524841
4,1000,20,0.75,0.0997491794633,0.964956902642,0.98370483127,0.95265970985,0.967928481885
4,2000,5,0.5,0.221983279877,0.85011304225,0.97580596896,0.742237210486,0.76454413628
4,2000,5,0.75,0.0820367221298,0.968878055673,0.982757611492,0.960804275897,0.971652070048
4,2000,10,0.5,0.0844654268341,0.969301964109,0.984721853132,0.959595316875,0.971996126514
4,2000,10,0.75,0.22793804498,0.849371202487,0.942693247471,0.744273351998,0.774366504769
4,2000,20,0.5,0.0838588607631,0.970361735199,0.984880504563,0.961376940697,0.972985133555
4,2000,20,0.75,0.08173215654,0.969231312703,0.984338793711,0.959849834564,0.971938159196
5,500,5,0.5,0.123032547035,0.958562950403,0.982291887107,0.942351743446,0.961904933101
5,500,5,0.75,0.12105015167,0.956937968066,0.980897708258,0.94076100789,0.960406380937
5,500,10,0.5,0.126021979158,0.960788469691,0.984350831937,0.944387884958,0.963952685496
5,500,10,0.75,0.121446551829,0.956584711036,0.981456901479,0.939552048867,0.960044333581
5,500,20,0.5,0.206924987229,0.957962413452,0.984295278549,0.939297531178,0.961219872604
5,500,20,0.75,0.331297890894,0.83969195987,0.945403685719,0.730020361415,0.768835812439
5,1000,5,0.5,0.131398995676,0.96255475484,0.984159043679,0.947823873759,0.965610209765
5,1000,5,0.75,0.218462420261,0.847922848665,0.946682959302,0.743955204887,0.775797490338
5,1000,10,0.5,0.0926403345512,0.966970467712,0.984338154857,0.955713922118,0.969813786913
5,1000,10,0.75,0.0905366085605,0.967005793415,0.982822818908,0.957304657674,0.969890877232
5,1000,20,0.5,0.0921137322039,0.967076444821,0.984537703304,0.955713922118,0.969909985092
5,1000,20,0.75,0.0890069525185,0.967288399039,0.985043919424,0.955586663273,0.970090349504
5,2000,5,0.5,0.0763883103713,0.97120955207,0.987055008676,0.960740646475,0.973718102732
5,2000,5,0.75,0.0709400761473,0.973081814328,0.987737014262,0.963476711631,0.975454879141
