max_depth,n_trees,n_leaves,early_stopping,col_sample,l,a,p,r,f
4,500,25,5,0.5,0.503458555476,0.780238801752,0.734973800887,0.944960549758,0.826834621772
4,500,25,5,0.75,0.498721768492,0.783983326268,0.737387036689,0.948841944515,0.829853402011
4,500,25,5,1,0.497815229513,0.787303942348,0.742982270842,0.943242555358,0.831189963583
4,500,25,10,0.5,0.498397334287,0.785043097358,0.737922416516,0.950369050649,0.830774576497
4,500,25,10,0.75,0.498301813181,0.78613819415,0.740133273082,0.947442097226,0.831052433659
4,500,25,10,1,0.496360444573,0.786173519853,0.741973143484,0.942669890557,0.830357908125
4,500,25,20,0.5,0.499708107251,0.785078423061,0.739356347038,0.946614914737,0.830237066385
4,500,25,20,0.75,0.500894824598,0.78175780698,0.735172580336,0.948651056248,0.828372930797
4,500,25,20,1,0.49930714992,0.78447788611,0.738182377612,0.948078391448,0.830061888914
4,500,50,5,0.5,0.499819900912,0.783630069238,0.736244406837,0.950941715449,0.829931698357
4,500,50,5,0.75,0.502589509334,0.782323018228,0.737808330337,0.943369814202,0.827963742169
4,500,50,5,1,0.502373470518,0.781475201357,0.739857540047,0.935416136421,0.826162644277
4,500,50,10,0.5,0.501890328666,0.782040412604,0.735984212206,0.947251208959,0.82835014135
4,500,50,10,0.75,0.501117341467,0.782605623852,0.738021260351,0.94330618478,0.828109126191
4,500,50,10,1,0.496327644673,0.788081107814,0.742723369047,0.945978620514,0.832116923841
4,500,50,20,0.5,0.50183114052,0.78211106401,0.736471118439,0.946105879359,0.828223672382
4,500,50,20,0.75,0.500088697368,0.783736046347,0.737897833917,0.946869432426,0.829411433527
4,500,50,20,1,0.49718297325,0.786067542744,0.740565096122,0.946233138203,0.83082898191
4,500,100,5,0.5,0.499839011426,0.784866468843,0.73900085852,0.947060320692,0.830175594541
4,500,100,5,0.75,0.495438927438,0.788222410626,0.742079658938,0.948078391448,0.832520262163
4,500,100,5,1,0.498370219268,0.784654514625,0.738527269812,0.947696614915,0.830125192108
4,500,100,10,0.5,0.502539102665,0.782040412604,0.736581360597,0.945660473403,0.828120320201
4,500,100,10,0.75,0.499207916168,0.784866468843,0.738858346127,0.947314838381,0.83020014792
4,500,100,10,1,0.501436759961,0.781863784089,0.737340324834,0.94330618478,0.827627933663
4,500,100,20,0.5,0.500770560672,0.783029532288,0.736911550711,0.947442097226,0.829019239622
4,500,100,20,0.75,0.503591572903,0.778755122227,0.733596748261,0.944515143802,0.825797857538
4,500,100,20,1,0.502049077911,0.78211106401,0.73734954616,0.943687961313,0.827841767011
4,1000,25,5,0.5,0.465764821109,0.798360887382,0.755767498796,0.940888266735,0.838222386331
4,1000,25,5,0.75,0.463296834313,0.802811925957,0.7600455663,0.942351743446,0.84143295115
4,1000,25,5,1,0.460391399224,0.804401582591,0.761822542796,0.942351743446,0.842514417191
4,1000,25,10,0.5,0.463510443832,0.801610852056,0.758629348265,0.942606261135,0.840658390322
4,1000,25,10,0.75,0.459977788126,0.805673307899,0.763783069128,0.941015525579,0.843183305574
4,1000,25,10,1,0.457125928086,0.806627101879,0.762973643557,0.945469585136,0.844459949895
4,1000,25,20,0.5,0.463725428214,0.801257595026,0.758787281341,0.941270043268,0.840228390412
4,1000,25,20,0.75,0.464104332752,0.800374452452,0.75770679416,0.941588190379,0.839687467435
4,1000,25,20,1,0.460681198969,0.802882577363,0.760458102516,0.941524560957,0.841356989874
4,1000,50,5,0.5,0.463415333321,0.801222269323,0.757915761049,0.943242555358,0.84048092943
4,1000,50,5,0.75,0.460490344917,0.804083651265,0.761088351448,0.943242555358,0.842425473603
4,1000,50,5,1,0.45863423017,0.806556450473,0.764319323572,0.942097225757,0.843943089291
4,1000,50,10,0.5,0.462238861587,0.801787480571,0.759438321538,0.941079155001,0.840545556898
4,1000,50,10,0.75,0.4645861013,0.801681503462,0.75850338947,0.943115296513,0.840784963527
4,1000,50,10,1,0.458892844324,0.805178748057,0.762583740327,0.942542631713,0.843059784619
4,1000,50,20,0.5,0.461034408279,0.805249399463,0.762345415564,0.94330618478,0.843216229602
4,1000,50,20,0.75,0.462755107198,0.801363572135,0.759229689927,0.940506490201,0.840191823629
4,1000,50,20,1,0.461888250168,0.802423343225,0.759771226767,0.941969966913,0.841114024253
4,1000,100,5,0.5,0.462707638061,0.803624417126,0.760940347311,0.942351743446,0.841977875075
4,1000,100,5,0.75,0.4603677209,0.805708633602,0.763656889732,0.941460931535,0.84327858219
4,1000,100,5,1,0.463158709307,0.801116292214,0.75880433129,0.940824637312,0.840067039857
4,1000,100,10,0.5,0.461503453662,0.804224954077,0.762224740758,0.940888266735,0.842180178208
4,1000,100,10,0.75,0.461544535263,0.802599971739,0.758905433846,0.944515143802,0.841593490387
4,1000,100,10,1,0.463181169987,0.800939663699,0.757632100957,0.943178925935,0.8402833189
4,1000,100,20,0.5,0.46177828835,0.801964109086,0.759524313464,0.941397302112,0.840731299442
4,1000,100,20,0.75,0.461675701813,0.804154302671,0.761844041258,0.941588190379,0.84223203965
4,1000,100,20,1,0.458818860121,0.805743959305,0.762943763441,0.943242555358,0.843552364218
4,2000,25,5,0.5,0.424476985828,0.825632330083,0.786155897829,0.942224484602,0.857139066682
4,2000,25,5,0.75,0.422959845359,0.824360604776,0.785353116172,0.94076100789,0.856060190144
4,2000,25,5,1,0.422662461102,0.823866044934,0.786520865055,0.937134130822,0.855240640795
4,2000,25,10,0.5,0.42417452548,0.825667655786,0.787524656396,0.939488419445,0.856814994329
4,2000,25,10,0.75,0.424929395538,0.824749187509,0.785186656187,0.942097225757,0.856503033605
4,2000,25,10,1,0.4221437147,0.826126889925,0.788674427024,0.938215831,0.85696683908
4,2000,25,20,0.5,0.42494955216,0.825667655786,0.786621514413,0.941397302112,0.857063399045
4,2000,25,20,0.75,0.426020518365,0.821181291508,0.782839368652,0.938215831,0.853501212542
4,2000,25,20,1,0.424653923595,0.824148650558,0.785718450897,0.939552048867,0.855764497005
4,2000,50,5,0.5,0.423196653392,0.825102444539,0.784298960775,0.944833290914,0.857109374969
4,2000,50,5,0.75,0.424365536557,0.823548113607,0.783850412896,0.941969966913,0.855649562511
4,2000,50,5,1,0.42555075416,0.824042673449,0.786441525301,0.937706795622,0.855437559643
4,2000,50,10,0.5,0.427913241629,0.820333474636,0.780129203866,0.941842708068,0.853387204108
4,2000,50,10,0.75,0.426330112318,0.822347039706,0.782664138901,0.941460931535,0.854745447143
4,2000,50,10,1,0.424193060831,0.822806273845,0.78576473228,0.936052430644,0.854344296569
4,2000,50,20,0.5,0.427182578137,0.820828034478,0.78200340415,0.939106642912,0.853371585094
4,2000,50,20,0.75,0.425284441977,0.82298290236,0.784906783328,0.938279460422,0.854765654972
4,2000,50,20,1,0.426341758458,0.821039988696,0.783246623466,0.936943242555,0.853226242749
4,2000,100,5,0.5,0.426167021262,0.821887805567,0.782300085317,0.941079155001,0.854371117387
4,2000,100,5,0.75,0.425219495156,0.825420375865,0.78753507557,0.938852125223,0.85655739961
4,2000,100,5,1,0.42697519953,0.821216617211,0.783906648467,0.936052430644,0.853239254092
4,2000,100,10,0.5,0.42653048918,0.822205736894,0.781682650813,0.943178925935,0.854867664775
4,2000,100,10,0.75,0.427410915936,0.821287268617,0.783261385376,0.937579536778,0.853492321386
4,2000,100,10,1,0.426104740735,0.822841599548,0.784898567701,0.937961313311,0.854627202498
4,2000,100,20,0.5,0.425683083364,0.821534548538,0.782631755081,0.939488419445,0.853912091165
4,2000,100,20,0.75,0.423401507758,0.824077999152,0.785081455686,0.940633749046,0.855845201464
4,2000,100,20,1,0.423799040034,0.825455701568,0.787384605449,0.939297531178,0.856646404694
4,3000,25,5,0.5,0.409357434988,0.831531722481,0.794879242948,0.938852125223,0.860881701424
4,3000,25,5,0.75,0.409716204244,0.82962413452,0.793998740091,0.936052430644,0.85917247296
4,3000,25,5,1,0.413543042393,0.827575243747,0.790159145228,0.938724866378,0.858057848671
4,3000,25,10,0.5,0.410298540973,0.82927087749,0.79286471754,0.937388648511,0.859087338323
4,3000,25,10,0.75,0.407471575286,0.833156704818,0.796668140538,0.939233901756,0.862087778146
4,3000,25,10,1,0.408715542145,0.830966511234,0.795423972957,0.936370577755,0.860159757164
4,3000,25,20,0.5,0.407380076296,0.834251801611,0.797839767971,0.939552048867,0.862911737703
4,3000,25,20,0.75,0.407361166943,0.83103716264,0.795681021602,0.936052430644,0.86017146958
4,3000,25,20,1,0.408540175509,0.829341528896,0.79317049343,0.936943242555,0.859078425002
4,3000,50,5,0.5,0.411114123421,0.830189345768,0.791620104025,0.942160855179,0.860348712735
4,3000,50,5,0.75,0.410199190576,0.828740991946,0.791158501783,0.939552048867,0.85898292342
4,3000,50,5,1,0.412044082266,0.828564363431,0.792348257943,0.936688724866,0.858491090506
4,3000,50,10,0.5,0.412803726178,0.829094248976,0.791476356027,0.939742937134,0.8592586165
4,3000,50,10,0.75,0.41119733539,0.828564363431,0.792439369412,0.9364978366,0.858465489473
4,3000,50,10,1,0.406264169645,0.831849653808,0.794585154468,0.940315601934,0.861298765098
4,3000,50,20,0.5,0.407495813604,0.83234421365,0.796016032226,0.938597607534,0.86142834731
4,3000,50,20,0.75,0.412650707149,0.82831708351,0.792074156082,0.936688724866,0.858323725732
4,3000,50,20,1,0.410263275622,0.827857849371,0.791123442265,0.937452277933,0.85809114025
4,3000,100,5,0.5,0.411924292895,0.828952946164,0.792283247729,0.938024942734,0.858970762324
4,3000,100,5,0.75,0.41070457983,0.829800763035,0.794290866045,0.935861542377,0.859272113499
4,3000,100,5,1,0.402315382107,0.835700155433,0.798694067307,0.94133367269,0.864161863237
4,3000,100,10,0.5,0.40845799459,0.832202910838,0.792804015332,0.944706032069,0.86210847545
4,3000,100,10,0.75,0.410552926751,0.82867034054,0.790883848353,0.939933825401,0.858982369034
4,3000,100,10,1,0.40280398818,0.835170269888,0.798976527091,0.939488419445,0.863549097982
4,3000,100,20,0.5,0.413453353066,0.826939381094,0.791677742735,0.934079918554,0.856997190661
4,3000,100,20,0.75,0.4104700183,0.829200226084,0.792031852181,0.938915754645,0.859235511317
